mun_code,mun_name,mun_name_simple,mun_id,reg_map,reg_name
3163607,"SÃO JOSÉ DO MANTIMENTO","SAO JOSE DO MANTIMENTO",278,"ZONA DA MATA",Mata
3164407,"SÃO SEBASTIÃO DA BELA VISTA","SAO SEBASTIAO DA BELA VISTA",434,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3164431,"SÃO SEBASTIÃO DA VARGEM ALEGRE","SAO SEBASTIAO DA VARGEM ALEGRE",281,"ZONA DA MATA",Mata
3164472,"SÃO SEBASTIÃO DO ANTA","SAO SEBASTIAO DO ANTA",841,"VALE DO RIO DOCE","Rio Doce"
3165503,"SARDOÁ",SARDOA,843,"VALE DO RIO DOCE","Rio Doce"
3165552,SETUBINHA,SETUBINHA,746,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3165560,SEM-PEIXE,SEM-PEIXE,282,"ZONA DA MATA",Mata
3165578,"SENADOR AMARAL","SENADOR AMARAL",441,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3165800,"SENADOR JOSÉ BENTO","SENADOR JOSE BENTO",442,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3166501,"SERRA AZUL DE MINAS","SERRA AZUL DE MINAS",152,"CENTRAL MINEIRA",Central
3167004,SERRANOS,SERRANOS,445,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3168051,TAPARUBA,TAPARUBA,846,"VALE DO RIO DOCE","Rio Doce"
3169059,"TOCOS DO MOJI","TOCOS DO MOJI",448,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3169109,TOLEDO,TOLEDO,449,"SUL/SUDOESTE DE MINAS","Sul de Minas"
